"","(Intercept) Estimate","(Intercept) Std. Error","(Intercept) t value","(Intercept) Pr(>|t|)","model.bw Estimate","model.bw Std. Error","model.bw t value","model.bw Pr(>|t|)","model.DOL Estimate","model.DOL Std. Error","model.DOL t value","model.DOL Pr(>|t|)","model.pH Estimate","model.pH Std. Error","model.pH t value","model.pH Pr(>|t|)","model.redox Estimate","model.redox Std. Error","model.redox t value","model.redox Pr(>|t|)","model.Subject_IDPH02 Estimate","model.Subject_IDPH02 Std. Error","model.Subject_IDPH02 t value","model.Subject_IDPH02 Pr(>|t|)","model.Subject_IDPH03 Estimate","model.Subject_IDPH03 Std. Error","model.Subject_IDPH03 t value","model.Subject_IDPH03 Pr(>|t|)","model.Subject_IDPH04 Estimate","model.Subject_IDPH04 Std. Error","model.Subject_IDPH04 t value","model.Subject_IDPH04 Pr(>|t|)","model.Subject_IDPH05 Estimate","model.Subject_IDPH05 Std. Error","model.Subject_IDPH05 t value","model.Subject_IDPH05 Pr(>|t|)","model.Subject_IDPH06 Estimate","model.Subject_IDPH06 Std. Error","model.Subject_IDPH06 t value","model.Subject_IDPH06 Pr(>|t|)","model.Subject_IDPH07 Estimate","model.Subject_IDPH07 Std. Error","model.Subject_IDPH07 t value","model.Subject_IDPH07 Pr(>|t|)","model.Subject_IDPH08 Estimate","model.Subject_IDPH08 Std. Error","model.Subject_IDPH08 t value","model.Subject_IDPH08 Pr(>|t|)","model.Subject_IDPH09 Estimate","model.Subject_IDPH09 Std. Error","model.Subject_IDPH09 t value","model.Subject_IDPH09 Pr(>|t|)","model.Subject_IDPH10 Estimate","model.Subject_IDPH10 Std. Error","model.Subject_IDPH10 t value","model.Subject_IDPH10 Pr(>|t|)","(Intercept) Pr(>|t|).BH","model.bw Pr(>|t|).BH","model.DOL Pr(>|t|).BH","model.pH Pr(>|t|).BH","model.redox Pr(>|t|).BH","model.Subject_IDPH02 Pr(>|t|).BH","model.Subject_IDPH03 Pr(>|t|).BH","model.Subject_IDPH04 Pr(>|t|).BH","model.Subject_IDPH05 Pr(>|t|).BH","model.Subject_IDPH06 Pr(>|t|).BH","model.Subject_IDPH07 Pr(>|t|).BH","model.Subject_IDPH08 Pr(>|t|).BH","model.Subject_IDPH09 Pr(>|t|).BH","model.Subject_IDPH10 Pr(>|t|).BH"
"seq_11",46.1131779164754,15.8418940803635,2.94308129559965,0.0171044579845343,-0.0326471359603771,0.00987501715780886,-3.34058870478688,0.00725936956538814,0.00139839091818882,0.0354296751915454,0.0427681672907533,0.597286464959121,-1.55153054715856,1.11194328465482,-1.41202646985937,0.229419398039886,-0.00409857637588639,0.00375438261887579,-1.10277703686885,0.346454151395426,-6.02493207517588,1.89097057383251,-3.21228430624083,0.0116199440305706,7.85679228047583,3.85265854206878,2.05975878934624,0.0977243945992402,-8.29163964701697,4.22671881999582,-1.98044091915044,0.0951267648973672,-7.17215468636434,1.59750266246453,-4.5312104323677,0.000259646106890394,2.95684032810271,4.69397855341013,0.630934652374854,0.473591915833071,-8.1924124976701,3.06980517757544,-2.69034930577276,0.026148815546167,-10.6630737821282,3.214272266277,-3.35028445248046,0.0052762079063226,-14.6459920325368,3.88648810985352,-3.80515618306882,0.00285493340833325,-13.9978482671355,4.37780213808147,-3.23420649458942,0.00882860643239445,0.241650666917884,0.121707496985718,0.996373358367366,0.919676948114254,0.957565739770195,0.108184298265055,0.679827019126946,0.72189684727579,0.00373853356280412,0.992476937065595,0.328662094661522,0.103970506526197,0.0567955816081506,0.159328869189595
"seq_12",-2.021678519428,18.3556068065955,-0.112751928517827,0.632366986145681,-0.00682518739298007,0.0114419356194158,-0.597437782542674,0.531666738219833,0.0363172631610555,0.0410514793119028,0.889056651029865,0.410078684390369,1.2121211190124,1.28838089819434,0.948197293565127,0.397732632717272,-0.00309731450714243,0.0043501093243024,-0.711893392599588,0.511196210427439,2.58438209159445,2.19102035148284,1.1953383686267,0.296187868949126,2.64402970395286,4.46397918074347,0.594240654734079,0.539075639865512,-6.76329167654844,4.89739347759232,-1.38550870536279,0.227300482573138,1.25517370322984,1.85098641588793,0.687236760088401,0.512588641522782,3.20479809013659,5.43879565460466,0.585415622599015,0.491618868470484,0.436312744682132,3.55690654959441,0.129422275753254,0.688333261271539,-4.54132767930516,3.72429695526479,-1.21918266319152,0.283020646457382,-4.40909008024379,4.50317665558731,-0.981365559090315,0.380977190804613,1.63373767190665,5.07244994292076,0.328198451297139,0.664226302960063,1,0.997833601427769,0.991073478341833,0.981532350871295,0.999438358315914,0.92483218247867,0.998416750784096,0.949967550033404,0.991017991075393,1,1,0.961772449205448,0.988348395444127,1
"seq_13",-13.5027007763576,15.9405662602102,-0.852516074384433,0.424889327325754,0.00656730221842026,0.00993652428972386,0.665057497946504,0.47188055736158,0.0309656282790827,0.0356503510314844,0.879136356850927,0.440438267978927,0.452911183327918,1.11886908956213,0.409630842109794,0.540508571209196,0.00601241117553533,0.00377776701439716,1.60712624297766,0.174274893332696,-0.619377599497351,1.90274859656133,-0.339656170280446,0.574633762642513,-1.11873376877135,3.87665505502502,-0.290804695590745,0.5807388185208,2.97053016923261,4.25304518964912,0.704492931715301,0.45242490488509,5.60750489882527,1.60745280284652,3.51549087186609,0.0040798154839057,0.567434671309431,4.7232152781142,0.115553490467768,0.604780525067454,4.00721296106078,3.08892564177242,1.30600335854526,0.281859396506907,2.81790119561086,3.23429255233152,0.871583066156148,0.41842653549754,4.28347627810934,3.91069533228552,1.10092938553464,0.342890749313846,2.84890163148436,4.40506953917068,0.642100292978783,0.465333889759226,0.983443366658146,0.996392899078512,0.980075925145477,0.992676461262156,0.883770588963324,0.997679940796423,1,0.987746626003228,0.0467778597862963,0.987082690713785,0.897126046365925,0.97573128525792,0.940505778726064,0.997410933774342
"seq_15",-7.93673550512522,15.2693894965312,-0.523975511493741,0.4984102054885,0.00252296653462614,0.00951814741991081,0.267425798556563,0.561140748291922,-0.0859255643493909,0.0341492947428469,-2.54059087653836,0.0477255760899122,0.895353081150689,1.07175916120361,0.844445090344825,0.409809422289554,-0.000922144475564382,0.00361870431880238,-0.253566868248734,0.58077137976851,-1.89212332389797,1.82263345985364,-1.04568687175202,0.380207806461334,-1.99314769276283,3.71342868331035,-0.537090800167594,0.527163838039588,2.23524288744796,4.07397092970301,0.553046175141915,0.491988613846523,-1.07798035828487,1.5397710811078,-0.701423074570072,0.495575802125012,-0.0631822061936366,4.52434452956138,-0.0138448017340267,0.627927145744024,-1.59528950898366,2.95886657852165,-0.544426586039875,0.556949583404308,14.5871268623239,3.09811282241293,4.74420308411382,0.000183235392009322,5.04915598406933,3.74603569635968,1.3625732505317,0.256138026801473,1.44912449518141,4.21959430141445,0.343098316444438,0.524576685220444,0.993585626395608,0.997464832683513,0.422863705761169,0.983873558901072,0.990219314268043,0.901949062329712,0.985243553730942,0.990508117693991,0.964071875480874,0.990898145801598,0.989206907950045,0.00387658023158554,0.87578690884774,0.995958397060153
"seq_16",-10.3680571518296,16.5022512179187,-0.634440112524914,0.5079194656161,0.00642405082362819,0.0102866496324712,0.634710991014945,0.500250907391407,0.0796250563074189,0.0369065338787272,2.18824045083744,0.0757930539578884,-0.261544794505519,1.15829378295089,-0.233374473966265,0.605828983808097,0.00193319844448633,0.00391088116298365,0.500397348603054,0.580241828949035,5.26386848873243,1.96979422389624,2.70292371290764,0.0249043914489839,0.706123392978825,4.01325364224507,0.174011155731886,0.626566128013122,1.920561618855,4.40290633438419,0.445559752912803,0.539915245614507,0.57409656800511,1.66409332896377,0.359861997166006,0.61146796041538,2.44786640998886,4.88964342943764,0.500834390677873,0.537578095754468,5.28340990848811,3.19776763898519,1.67491993914351,0.162467727298201,1.23589485512881,3.34825672686701,0.371538741197284,0.579454282034894,3.86968243525609,4.04849336947373,0.972594273318523,0.402456641539412,2.426465958674,4.56028744406959,0.53377443769213,0.526101223755596,0.994392729726322,0.987380124695457,0.588451763611702,1,1,0.257502402800561,1,0.994307644220699,0.987269649425161,0.993657563587937,0.808467818826653,0.997457287847901,0.96379039926246,0.992296834465361
"seq_17",6.75966865899571,14.3660406592451,0.481343203127022,0.558344560344615,-0.00333452020473336,0.00895504649129492,-0.381425835793649,0.563278210936326,0.0103718723242421,0.0321289961770726,0.325836289881745,0.522900746554527,-0.968651516445573,1.00835306416587,-0.973228108252425,0.391194027488401,0.00334028122211453,0.00340461898555346,0.999565420441363,0.371491507078265,7.55111784091567,1.71480506127021,4.44050690204479,0.000374666700185707,3.11431817307607,3.49373938373649,0.910230629899111,0.409663263157581,3.76413418393365,3.83295167328016,0.9877513975619,0.381568408701317,-0.992211740824822,1.4486770386039,-0.682328977548136,0.488575170419908,1.26481331177157,4.25668082426461,0.302013546995726,0.594840090866786,1.11320931261572,2.78381775394359,0.402059928148732,0.560519546967156,0.905391593716281,2.91482608285181,0.317348737886256,0.537083701834262,1.81155105587429,3.52441734079231,0.517282393484707,0.539141130092085,-0.0623234834486616,3.96995985421747,-0.0208825805915172,0.624564346075029,0.991154053047624,0.987771778298193,0.988034039166894,0.981391955794557,0.974111763763744,0.00574840178336658,0.961003094420402,0.959886561061108,0.951308635246149,0.998103426637426,0.998939364016425,0.993562513721346,0.989255613068917,0.984035211773819
"seq_19",-4.50103523892721,13.9396071659928,-0.338649738109505,0.549034046577752,-0.00160996320835738,0.00868922991398614,-0.176123252547303,0.585493098732109,-0.0596828566036906,0.0311752970751797,-1.93118104642789,0.122772734291458,0.823297929341261,0.978421677377882,0.863818228068886,0.414733840210284,0.00172865436070035,0.00330355818518129,0.537132685442967,0.521097047639627,-0.821286710096768,1.66390374963752,-0.500391828238606,0.480983015152204,0.602048957493103,3.39003318345082,0.171452000160981,0.586127870118091,0.790780069264123,3.71917648565029,0.222178875919345,0.553340941087869,6.20001455489047,1.40567532192919,4.4682038628609,0.000543546825638628,1.2630874753906,4.13032789817965,0.29916352739546,0.562163236026034,0.0608184144128646,2.70118446913329,0.029245193494974,0.613726756229322,2.4715922051852,2.82830402028662,0.880867259014631,0.417240820238426,-0.29140704450539,3.41980051323616,-0.0772165189985357,0.579973198631558,0.793909012972879,3.8521177925903,0.222464046143628,0.530966177206158,0.986265884452192,0.986065953126548,0.6800350438124,0.965427762562736,0.994923899883281,0.971754899998469,0.983000454018545,0.989962417578733,0.0072906421507966,0.989925598684321,0.991688661428852,0.974162829054732,0.98593364596743,0.98123223385308
"seq_23",-4.55204019501144,14.0326376693913,-0.314739768253959,0.544925678777475,-0.00119920113285631,0.0087472203166867,-0.153177043981228,0.56538535485686,-0.0683713233753984,0.031383355562479,-2.20749190657041,0.0741369936720305,0.805218827983819,0.984951492752059,0.821709066729286,0.445117581460431,0.000820235102096099,0.0033256055554776,0.24208067904925,0.597393176448236,-1.14640002561811,1.675008352629,-0.68276733057226,0.430860443135533,-0.0193764551148786,3.41265767278102,-0.000178739863139773,0.604487333223808,1.10425327270337,3.743997619888,0.284600514941064,0.510086662227118,5.27023156051834,1.41505655349883,3.7774953837483,0.00502688033117526,0.929412273948327,4.15789298512888,0.221772608287863,0.579848135924233,-0.384376292331214,2.71921170246514,-0.150055877149917,0.548248858571271,2.64414909102301,2.84717962729893,0.930394540352,0.380735059640039,-0.204924279749401,3.44262366452589,-0.0733886556741632,0.56232986805817,1.3015974316937,3.8778261538897,0.325639924375861,0.524928439467414,0.991946300406371,0.988915720706292,0.550637185461503,0.98419093754653,0.994645165670467,0.931859087682404,0.992495782290457,0.980745016120762,0.052870685398568,0.978773757008753,0.992142680107973,0.967421195996028,0.988147242093656,0.99113888616018
"seq_24",-6.05882433768888,14.1879523655442,-0.430470834678985,0.517246688279711,4.25091209254193e-05,0.00884403546275379,0.00475089091325639,0.578311209682207,-0.0668748006262713,0.0317307098124983,-2.14032691126875,0.094224979569868,0.825237271840252,0.995853038521733,0.839422091192081,0.424619120484408,0.00158992593890395,0.00336241370434757,0.49169385015618,0.53019719955098,-0.876659903186408,1.69354751963889,-0.515876464251501,0.521585526337239,-0.466528876131066,3.45042932355755,-0.146157680562411,0.579225431798156,1.65976739068763,3.78543657573009,0.446774055647933,0.54017621674961,5.56973145817515,1.43071854690476,3.94526710053994,0.00325390821172008,0.815322129909173,4.20391297800806,0.188489015749642,0.569516785016573,0.659454912527132,2.74930822097392,0.238034911931648,0.569626708810883,2.56060164286592,2.87869250813609,0.904811451702293,0.385869934036765,0.391653428237496,3.480726982022,0.113036503593551,0.574287237868796,1.48396494933612,3.92074633789323,0.375495901883363,0.520629108236702,0.995750224439867,1,0.580649040917184,0.965751496551867,0.990720341964893,0.957542881193452,0.988934634713384,0.989352547493525,0.0338871917531902,0.992245032053208,0.996336275513077,0.960926847210434,0.996104781719038,0.990512973942618
"seq_25",7.9822087843079,15.9957467731033,0.507459419797496,0.547321374006958,0.00318823447871358,0.0099709209665879,0.321646911977536,0.600927832001013,0.0516703061476494,0.035773759737463,1.46556385570957,0.231172910553105,-1.48286541201323,1.12274221233672,-1.33837492757347,0.268678812457835,-0.00132384468098584,0.00379084428643647,-0.352255746490868,0.569540957735115,-8.91126676455251,1.90933522853858,-4.71542285420153,0.000236275711036601,-5.04780557044046,3.89007464193017,-1.31050891149316,0.253414240034625,-4.70309005435482,4.26776770396208,-1.11605363526426,0.342635273871048,-7.54995333139108,1.61301722688671,-4.71989211785682,0.000203651530858096,-4.39359803517214,4.73956535233971,-0.946754162341279,0.436019740160456,-2.14399756796914,3.09961839248275,-0.693031057067307,0.485865267830952,-5.60937977558893,3.24548851105537,-1.75359312924054,0.166089327606462,-1.82869238850352,3.92423275439975,-0.471707709547134,0.566299900341651,-5.14227037567921,4.42031830715881,-1.17521875231072,0.330931027689491,0.99722075719488,1,0.84318727720569,0.894051531465463,0.993745108215494,0.00377223032478007,0.937424484435796,0.962137679177644,0.00300075871397532,0.948234160664718,1,0.773254000051913,0.996500404312837,0.912319708879298
